ingredient,count,used %,effects,main effect
zea-mays-starch,1007,1.31,"['viscosity controlling', 'abrasive/scrub']",viscosity controlling
caprylyl-capryl-glucoside,999,1.3,['surfactant/cleansing'],surfactant/cleansing
hydrolyzed-soy-protein,999,1.3,['moisturizer/humectant'],moisturizer/humectant
mentha-piperita-oil,989,1.28,['perfuming'],perfuming
trimethylsiloxysilicate,987,1.28,['emollient'],emollient
arachidyl-alcohol,986,1.28,"['emollient', 'viscosity controlling']",emollient
trisodium-edta,985,1.28,['chelating'],chelating
aspartic-acid,982,1.28,['skin-identical ingredient'],skin-identical ingredient
acacia-senegal-gum,982,1.28,[''],
eucalyptus-globulus-leaf-oil,980,1.27,"['perfuming', 'antimicrobial/antibacterial']",perfuming
phenylbenzimidazole-sulfonic-acid,972,1.26,['sunscreen'],sunscreen
histidine,970,1.26,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
cannabis-sativa-seed-oil,970,1.26,['emollient'],emollient
valine,959,1.25,['skin-identical ingredient'],skin-identical ingredient
sodium-anisate,957,1.24,['antimicrobial/antibacterial'],antimicrobial/antibacterial
hydroxypropyl-methylcellulose,957,1.24,"['surfactant/cleansing', 'viscosity controlling']",surfactant/cleansing
ethoxydiglycol,956,1.24,"['solvent', 'moisturizer/humectant', 'perfuming']",solvent
amodimethicone,956,1.24,['emollient'],emollient
arachidyl-glucoside,953,1.24,"['emulsifying', 'surfactant/cleansing']",emulsifying
zinc-pca,951,1.24,"['anti-acne', 'moisturizer/humectant']",anti-acne
disodium-phosphate,941,1.22,['buffering'],buffering
ci-14700,939,1.22,['colorant'],colorant
caramel,937,1.22,['colorant'],colorant
silica-dimethyl-silylate,931,1.21,"['emollient', 'viscosity controlling']",emollient
coco-caprylate,925,1.2,['emollient'],emollient
microcrystalline-cellulose,925,1.2,['viscosity controlling'],viscosity controlling
disodium-cocoamphodiacetate,924,1.2,['surfactant/cleansing'],surfactant/cleansing
maris-aqua,924,1.2,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
